date|close_price|high_price|low_price
30/12/2015|579.45|579.45|575.71
31/12/2015|579.03|580.82|575.73
04/01/2016|574.41|579.97|573.15
05/01/2016|569.94|575.40|569.26
06/01/2016|574.57|574.57|569.50
07/01/2016|565.36|574.57|561.09
08/01/2016|560.05|565.36|556.36
11/01/2016|557.87|563.04|557.51
12/01/2016|564.26|564.26|557.36
13/01/2016|560.37|566.02|560.37
14/01/2016|553.03|560.37|550.60
15/01/2016|543.04|556.55|543.04
18/01/2016|526.37|543.04|518.16
19/01/2016|535.77|535.77|525.65
20/01/2016|529.44|536.57|529.42
21/01/2016|521.88|531.21|520.74
22/01/2016|522.24|525.83|513.82
25/01/2016|542.35|542.35|522.24
26/01/2016|537.73|542.98|531.27
27/01/2016|542.69|543.88|537.73
28/01/2016|539.47|544.73|538.59
29/01/2016|545.25|545.71|537.51
01/02/2016|540.56|548.58|540.56
02/02/2016|536.45|542.26|535.38
03/02/2016|539.07|539.07|530.23
04/02/2016|542.15|545.17|539.07
05/02/2016|544.75|545.54|540.64
15/02/2016|543.79|544.75|537.81
16/02/2016|548.05|548.89|543.79
17/02/2016|547.05|552.38|547.05
18/02/2016|552.49|555.05|547.05
19/02/2016|554.03|555.16|551.38
22/02/2016|560.71|561.44|554.03
23/02/2016|561.28|567.58|560.71
24/02/2016|568.04|569.70|557.77
25/02/2016|562.82|573.63|562.82
26/02/2016|566.11|566.80|562.39
29/02/2016|559.37|566.31|559.37
01/03/2016|561.56|565.65|559.37
02/03/2016|570.18|570.18|561.56
03/03/2016|570.39|573.88|569.39
04/03/2016|573.65|576.02|568.83
07/03/2016|576.20|580.95|573.65
08/03/2016|574.71|579.87|574.53
09/03/2016|571.71|576.32|571.48
10/03/2016|575.91|575.91|571.52
11/03/2016|577.26|580.93|574.81
14/03/2016|577.98|579.84|576.26
15/03/2016|574.04|578.96|572.59
16/03/2016|577.07|577.96|573.37
17/03/2016|579.26|583.53|577.07
18/03/2016|575.82|580.81|575.44
21/03/2016|572.27|580.83|572.27
22/03/2016|570.91|573.80|567.80
23/03/2016|574.71|575.22|570.39
24/03/2016|570.66|577.21|570.66
25/03/2016|572.08|572.48|564.88
28/03/2016|575.72|576.00|571.58
29/03/2016|568.28|576.07|568.28
30/03/2016|569.91|571.89|565.55
31/03/2016|561.22|570.94|561.22
01/04/2016|558.43|562.73|557.96
04/04/2016|555.82|560.92|554.30
05/04/2016|560.32|560.32|555.15
06/04/2016|567.79|567.79|560.32
